,"4-year
window before
introduction
of MDP
(Number of
Traffcikers=101)","4-year
window after
introduction
of MDP
(Number of
Traffcikers=101)",Change
"% of cannabis
traffci kers who
traffci ked net
weights above
500g",25%,24%,-1%
"Average net
weight traffciked","1,559g","1,103g",-456g
