,"4-year
window before
introduction
of MDP
(Number of
Traffcikers=25)","4-year
window after
introduction
of MDP
(Number of
Traffcikers=28)",Change
"% of opium
traffci kers who
traffci ked net
weights above
1,200g",80%,78%,-2%
"Average net
weight traffciked","40,700g","13,700g","-27,000g**"
